-----------------------------------------|---------|----------|---------|---------|-------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-----------------------------------------|---------|----------|---------|---------|-------------------
 src/modules/materials                   |       0 |        0 |       0 |       0 |                   
  materials.controller.ts                |       0 |        0 |       0 |       0 | 1-35              
  materials.module.ts                    |       0 |      100 |     100 |       0 | 1-11              
  materials.service.ts                   |       0 |        0 |       0 |       0 | 1-50              
 src/modules/materials/dto               |       0 |      100 |     100 |       0 |                   
  create-material.dto.ts                 |       0 |      100 |     100 |       0 | 1                 
  update-material.dto.ts                 |       0 |      100 |     100 |       0 | 1-4               
 src/modules/materials/entities          |       0 |      100 |     100 |       0 |                   
  material.entity.ts                     |       0 |      100 |     100 |       0 | 1                 
 src/modules/notifications               |       0 |        0 |       0 |       0 |                   
  notifications.controller.ts            |       0 |        0 |       0 |       0 | 2-24              
  notifications.module.ts                |       0 |      100 |     100 |       0 | 2-13              
  notifications.service.ts               |       0 |        0 |       0 |       0 | 2-37              
 src/modules/photos                      |       0 |        0 |       0 |       0 |                   
  photos.controller.ts                   |       0 |        0 |       0 |       0 | 1-17              
  photos.module.ts                       |       0 |      100 |     100 |       0 | 1-12              
  photos.service.ts                      |       0 |        0 |       0 |       0 | 1-68              
  public-photos.controller.ts            |       0 |        0 |       0 |       0 | 1-14              
 src/modules/pm-dashboard                |       0 |        0 |       0 |       0 |                   
  pm-dashboard.controller.ts             |       0 |        0 |       0 |       0 | 2-29              
  pm-dashboard.module.ts                 |       0 |      100 |     100 |       0 | 2-13              
  pm-dashboard.service.ts                |       0 |        0 |       0 |       0 | 2-151             
 src/modules/progress-estimates          |       0 |        0 |       0 |       0 |                   
  progress-estimates.controller.ts       |       0 |        0 |       0 |       0 | 1-35              
  progress-estimates.module.ts           |       0 |      100 |     100 |       0 | 1-11              
  progress-estimates.service.ts          |       0 |        0 |       0 |       0 | 1-70              
 src/modules/progress-estimates/dto      |       0 |      100 |     100 |       0 |                   
  create-progress-estimate.dto.ts        |       0 |      100 |     100 |       0 | 1                 
  update-progress-estimate.dto.ts        |       0 |      100 |     100 |       0 | 1-4               
 src/modules/progress-estimates/entities |       0 |      100 |     100 |       0 |                   
  progress-estimate.entity.ts            |       0 |      100 |     100 |       0 | 1                 
 src/modules/project-members             |       0 |        0 |       0 |       0 |                   
  project-members.controller.ts          |       0 |        0 |       0 |       0 | 1-73              
  project-members.module.ts              |       0 |      100 |     100 |       0 | 1-13              
  project-members.service.ts             |       0 |        0 |       0 |       0 | 1-198             
 src/modules/project-members/dto         |       0 |        0 |     100 |       0 |                   
  add-member.dto.ts                      |       0 |        0 |     100 |       0 | 1-29              
  update-member-role.dto.ts              |       0 |        0 |     100 |       0 | 1-11              
 src/modules/projects                    |       0 |        0 |       0 |       0 |                   
  milestones.controller.ts               |       0 |        0 |       0 |       0 | 1-50              
  milestones.service.ts                  |       0 |        0 |       0 |       0 | 1-63              
  projects.controller.ts                 |       0 |        0 |       0 |       0 | 1-100             
  projects.module.ts                     |       0 |      100 |     100 |       0 | 1-14              
